Nama Lokasi,Jam Login,Nama,Email,No Telepon,Tahun Lahir,Merk HP,Minat Digital,Tipe Lokasi,Usia,Generasi,Waktu Sesi,Skor Minat Digital,Status Aktif,Domain Email
Yogyakarta,08:32,drg. Raina Zulaika,almirapadmasari@example.org,0888-8048-2624,1999,Samsung,Tinggi,Tourism,27,Gen Z,Pagi,75,Kurang Aktif,example.org
Denpasar,15:27,Jail Uyainah,vega40@example.com,0868-4743-7779,1983,OPPO,Sedang,Tourism,43,Millennial,Siang,50,Kurang Aktif,example.com
Makassar,09:20,Shania Palastri,cakrajiyahandayani@example.com,0865-6120-5176,1976,Samsung,Sedang,Urban,50,Gen X,Pagi,50,Kurang Aktif,example.com
Semarang,16:05,Tgk. Suci Anggraini,vino43@example.com,0821-2527-8075,1974,Apple,Rendah,Urban,52,Gen X,Sore,25,Kurang Aktif,example.com
Bandung,17:03,"Dr. Cici Prakasa, S.Sos",kartika44@example.org,0886-6400-3002,2005,Realme,Sedang,Urban,21,Gen Z,Sore,50,Kurang Aktif,example.org
Makassar,09:18,"Hj. Lala Saefullah, S.Ked",sudiatiamelia@example.com,0887-6119-6761,1973,OPPO,Rendah,Urban,53,Gen X,Pagi,25,Kurang Aktif,example.com
Bandung,16:14,"KH. Dartono Sudiati, S.I.Kom",raisanainggolan@example.net,0824-6736-7022,2000,Xiaomi,Rendah,Urban,26,Gen Z,Sore,25,Kurang Aktif,example.net
Surabaya,14:54,Shania Wahyuni,restukuswoyo@example.net,0882-1430-5381,1997,Xiaomi,Rendah,Urban,29,Gen Z,Siang,25,Kurang Aktif,example.net
Yogyakarta,16:22,"Arta Saragih, M.M.",prastutiomar@example.net,0811-3972-3347,1991,Xiaomi,Tinggi,Tourism,35,Millennial,Sore,75,Kurang Aktif,example.net
Bandung,20:05,Bakijan Sihombing,radika23@example.org,0878-4524-7163,1971,Xiaomi,Sedang,Urban,55,Gen X,Malam,50,Aktif,example.org
Medan,12:46,"Dr. Taufik Utama, M.TI.",gambira47@example.com,0852-2391-1861,1989,Apple,Sedang,Urban,37,Millennial,Siang,50,Aktif,example.com
Jakarta Selatan,09:17,"Jessica Latupono, M.M.",megantarajabal@example.net,0867-7947-8957,1975,Xiaomi,Tinggi,Urban,51,Gen X,Pagi,75,Kurang Aktif,example.net
Surabaya,09:07,"Samiah Widodo, M.Pd",cemeti60@example.com,0855-8043-2816,2002,Vivo,Sedang,Urban,24,Gen Z,Pagi,50,Kurang Aktif,example.com
Semarang,09:42,R. Jaeman Uwais,laila65@example.org,0850-1744-4612,2003,Vivo,Sedang,Urban,23,Gen Z,Pagi,50,Kurang Aktif,example.org
Jakarta Selatan,12:19,"Daruna Halimah, S.Ked",oni31@example.net,0838-3248-5186,1983,Samsung,Sedang,Urban,43,Millennial,Siang,50,Aktif,example.net
Semarang,14:11,"Dr. Tira Sihombing, S.Farm",mandalabakijan@example.org,0827-7229-9725,1997,OPPO,Tinggi,Urban,29,Gen Z,Siang,75,Kurang Aktif,example.org
Medan,14:25,Nilam Latupono,prakasagawati@example.org,0816-8147-1307,1974,Samsung,Sedang,Urban,52,Gen X,Siang,50,Kurang Aktif,example.org
Medan,16:27,Mutia Uwais,vrahmawati@example.net,0884-7626-7843,2006,Xiaomi,Sedang,Urban,20,Gen Z,Sore,50,Kurang Aktif,example.net
Medan,13:51,Timbul Agustina,lestaripatricia@example.com,0890-8538-6928,1980,Realme,Rendah,Urban,46,Gen X,Siang,25,Aktif,example.com
Surabaya,18:37,Ami Uwais,tirtahandayani@example.org,0862-9584-2288,1997,Xiaomi,Sedang,Urban,29,Gen Z,Sore,50,Kurang Aktif,example.org
Medan,11:21,"dr. Cinthia Uwais, M.Pd",banawi64@example.org,0832-2251-9363,1984,OPPO,Tinggi,Urban,42,Millennial,Siang,75,Aktif,example.org
Surabaya,23:22,Warta Hasanah,wijayantiirwan@example.net,0893-3419-4871,1992,Xiaomi,Rendah,Urban,34,Millennial,Malam,25,Kurang Aktif,example.net
Bandung,15:48,"Lembah Damanik, S.Gz",jinawi29@example.org,0894-2234-3902,1979,Vivo,Sangat Tinggi,Urban,47,Gen X,Siang,95,Kurang Aktif,example.org
Semarang,09:48,Radit Puspasari,lidyapratama@example.org,0885-8354-6295,2006,Vivo,Sangat Tinggi,Urban,20,Gen Z,Pagi,95,Kurang Aktif,example.org
Bandung,08:04,Vicky Maulana,saefullahelvin@example.org,0871-8245-5961,1998,Vivo,Tinggi,Urban,28,Gen Z,Pagi,75,Kurang Aktif,example.org
Medan,14:04,T. Raditya Natsir,wijayantiaslijan@example.org,0850-8565-8404,2002,Xiaomi,Rendah,Urban,24,Gen Z,Siang,25,Kurang Aktif,example.org
Yogyakarta,12:41,Gatot Prakasa,anggabaya24@example.org,0822-9307-7299,1974,OPPO,Sedang,Tourism,52,Gen X,Siang,50,Aktif,example.org
Jakarta Selatan,15:58,Opung Andriani,haryantowawan@example.com,0884-4084-6267,1998,OPPO,Tinggi,Urban,28,Gen Z,Siang,75,Kurang Aktif,example.com
Jakarta Selatan,14:06,"Tgk. Kambali Rahayu, S.IP",omardhiyah@example.net,0854-2381-9266,1998,Samsung,Tinggi,Urban,28,Gen Z,Siang,75,Kurang Aktif,example.net
Semarang,12:33,Ozy Wahyuni,vero00@example.com,0877-3600-6962,1998,Xiaomi,Sedang,Urban,28,Gen Z,Siang,50,Aktif,example.com
Makassar,09:43,"drg. Maria Kurniawan, M.Kom.",fhidayanto@example.com,0887-1857-6482,1991,Samsung,Rendah,Urban,35,Millennial,Pagi,25,Kurang Aktif,example.com
Makassar,06:16,R. Bella Mahendra,qori98@example.net,0895-3463-6461,1988,Vivo,Rendah,Urban,38,Millennial,Pagi,25,Kurang Aktif,example.net
Medan,11:41,Kezia Riyanti,umaya89@example.com,0895-7421-3112,1989,Infinix,Tinggi,Urban,37,Millennial,Siang,75,Aktif,example.com
Yogyakarta,16:24,Putu Latupono,satyahartati@example.org,0893-6381-3093,2005,Apple,Tinggi,Tourism,21,Gen Z,Sore,75,Kurang Aktif,example.org
Denpasar,13:41,Jessica Hasanah,uagustina@example.org,0896-7937-9331,1975,Xiaomi,Sedang,Tourism,51,Gen X,Siang,50,Aktif,example.org
Bandung,08:21,Maria Sihotang,pangestu27@example.org,0873-4145-4711,1983,Samsung,Sangat Tinggi,Urban,43,Millennial,Pagi,95,Kurang Aktif,example.org
Yogyakarta,13:32,Radika Hutasoit,astutidadi@example.net,0880-9626-1618,1976,Realme,Tinggi,Tourism,50,Gen X,Siang,75,Aktif,example.net
Palembang,14:38,"Kasiyah Mustofa, M.Pd",rahmawatijamalia@example.net,0859-3527-3658,1978,Vivo,Sedang,Suburban,48,Gen X,Siang,50,Kurang Aktif,example.net
Palembang,09:46,Salsabila Maheswara,qthamrin@example.com,0867-1715-7731,1980,Apple,Sedang,Suburban,46,Gen X,Pagi,50,Kurang Aktif,example.com
Semarang,13:48,"Cut Irma Rahimah, S.Pd",daniswara98@example.org,0868-4833-9749,1988,Infinix,Sedang,Urban,38,Millennial,Siang,50,Aktif,example.org
Semarang,13:23,Maryadi Laksmiwati,darijantampubolon@example.net,0897-8218-8564,1982,Apple,Tinggi,Urban,44,Millennial,Siang,75,Aktif,example.net
Denpasar,08:26,Calista Setiawan,sidiqpurwanti@example.net,0831-4271-3267,2003,Samsung,Sangat Tinggi,Tourism,23,Gen Z,Pagi,95,Kurang Aktif,example.net
Semarang,14:35,Hj. Syahrini Puspita,sudiatitira@example.net,0824-9452-3042,1993,Apple,Sedang,Urban,33,Millennial,Siang,50,Kurang Aktif,example.net
Yogyakarta,15:57,Ana Najmudin,lasmanto55@example.org,0876-3414-8167,1998,Realme,Rendah,Tourism,28,Gen Z,Siang,25,Kurang Aktif,example.org
Semarang,17:59,Tedi Megantara,jhidayat@example.net,0814-7797-1872,1992,Xiaomi,Sedang,Urban,34,Millennial,Sore,50,Kurang Aktif,example.net
Makassar,17:23,"Among Iswahyudi, M.TI.",parmanandriani@example.com,0839-1461-6221,1975,Realme,Sangat Tinggi,Urban,51,Gen X,Sore,95,Kurang Aktif,example.com
Medan,07:08,Endah Uwais,martaka99@example.org,0815-5700-8740,1979,Samsung,Tinggi,Urban,47,Gen X,Pagi,75,Kurang Aktif,example.org
Semarang,09:39,Chandra Manullang,wulandaricarub@example.com,0811-2298-1311,1998,Realme,Sedang,Urban,28,Gen Z,Pagi,50,Kurang Aktif,example.com
Denpasar,15:27,Salimah Anggraini,csudiati@example.com,0825-5720-4893,2003,Samsung,Sedang,Tourism,23,Gen Z,Siang,50,Kurang Aktif,example.com
Makassar,15:04,Gasti Mulyani,situmorangsatya@example.org,0825-9189-9782,1999,OPPO,Rendah,Urban,27,Gen Z,Siang,25,Kurang Aktif,example.org
Surabaya,15:18,Shania Wastuti,qnovitasari@example.com,0865-1025-6780,1979,Xiaomi,Sedang,Urban,47,Gen X,Siang,50,Kurang Aktif,example.com
Jakarta Pusat,23:23,Darmaji Widodo,ardiantohasan@example.com,0819-9618-9914,2003,Huawei,Tinggi,Urban,23,Gen Z,Malam,75,Kurang Aktif,example.com
Denpasar,15:24,Pranata Mandala,labuh51@example.org,0871-1713-7338,1971,Xiaomi,Sangat Tinggi,Tourism,55,Gen X,Siang,95,Kurang Aktif,example.org
Jakarta Selatan,17:50,Ulva Astuti,ekawibowo@example.net,0819-6649-4950,1992,Vivo,Tinggi,Urban,34,Millennial,Sore,75,Kurang Aktif,example.net
Palembang,16:08,"Ghaliyati Mardhiyah, M.Pd",cakrabirawa60@example.com,0816-6772-9945,1991,Vivo,Sedang,Suburban,35,Millennial,Sore,50,Kurang Aktif,example.com
Semarang,15:40,Jagaraga Hutagalung,kasiyah69@example.com,0834-3209-2033,2000,Infinix,Tinggi,Urban,26,Gen Z,Siang,75,Kurang Aktif,example.com
Jakarta Selatan,11:12,"Suci Agustina, S.Pd",waskitaartanto@example.com,0816-4268-1686,1988,Xiaomi,Sedang,Urban,38,Millennial,Siang,50,Aktif,example.com
Makassar,16:30,Rama Safitri,ftarihoran@example.com,0843-1599-4131,2004,Realme,Sedang,Urban,22,Gen Z,Sore,50,Kurang Aktif,example.com
Jakarta Selatan,09:17,"Puti Hesti Fujiati, M.Farm",fnovitasari@example.com,0826-7029-8159,1991,Apple,Sangat Tinggi,Urban,35,Millennial,Pagi,95,Kurang Aktif,example.com
Makassar,12:11,"Tgk. Uli Sirait, S.H.",gandi18@example.net,0874-9151-7018,1991,OPPO,Sangat Tinggi,Urban,35,Millennial,Siang,95,Aktif,example.net
Jakarta Pusat,11:05,Karta Melani,nalartampubolon@example.net,0866-3956-9937,1997,Samsung,Sedang,Urban,29,Gen Z,Siang,50,Aktif,example.net
Medan,13:19,"Hj. Yulia Maulana, S.H.",maulanakambali@example.org,0868-7981-3730,1988,Xiaomi,Tinggi,Urban,38,Millennial,Siang,75,Aktif,example.org
Jakarta Selatan,22:39,Luhung Mangunsong,nugrohorestu@example.com,0866-5498-1939,1992,Vivo,Rendah,Urban,34,Millennial,Malam,25,Kurang Aktif,example.com
Medan,05:51,Usyi Pratiwi,kzulaika@example.net,0897-3621-1510,2002,Vivo,Rendah,Urban,24,Gen Z,Pagi,25,Kurang Aktif,example.net
Semarang,15:08,"Leo Sinaga, S.Psi",tasnimhidayat@example.com,0819-4866-7001,1972,Infinix,Sedang,Urban,54,Gen X,Siang,50,Kurang Aktif,example.com
Jakarta Selatan,06:43,Siti Sihombing,maya05@example.net,0868-7077-7095,1979,Samsung,Sedang,Urban,47,Gen X,Pagi,50,Kurang Aktif,example.net
Bandung,11:23,Galak Hariyah,dfirgantoro@example.com,0861-6150-5566,2003,Samsung,Sedang,Urban,23,Gen Z,Siang,50,Aktif,example.com
Bandung,17:33,"Tgk. Citra Yuliarti, S.Pt",lhariyah@example.net,0860-2929-5288,2001,Vivo,Tinggi,Urban,25,Gen Z,Sore,75,Kurang Aktif,example.net
Surabaya,13:44,"H. Umar Gunarto, M.M.",marganasuartini@example.com,0873-4279-3009,1988,Samsung,Rendah,Urban,38,Millennial,Siang,25,Aktif,example.com
Bandung,08:05,R.M. Yusuf Halim,zjailani@example.com,0898-6236-6692,1998,OPPO,Tinggi,Urban,28,Gen Z,Pagi,75,Kurang Aktif,example.com
Yogyakarta,10:54,"Chelsea Mayasari, S.E.",prayogataufik@example.com,0831-3852-6922,1989,Samsung,Tinggi,Tourism,37,Millennial,Pagi,75,Kurang Aktif,example.com
Surabaya,15:15,Dr. Lurhur Manullang,panca46@example.com,0874-1430-6912,1978,Xiaomi,Tinggi,Urban,48,Gen X,Siang,75,Kurang Aktif,example.com
Denpasar,10:39,"Tgk. Mustika Rahimah, S.Gz",cahyadi51@example.net,0822-2077-6067,1978,Apple,Sedang,Tourism,48,Gen X,Pagi,50,Kurang Aktif,example.net
Semarang,13:26,"Harsana Suryono, S.T.",mulyantohutapea@example.net,0863-2208-3053,2003,Vivo,Sangat Tinggi,Urban,23,Gen Z,Siang,95,Aktif,example.net
Semarang,13:43,"Caket Tampubolon, S.Pd",mmustofa@example.net,0877-6644-3102,1999,Apple,Sangat Tinggi,Urban,27,Gen Z,Siang,95,Aktif,example.net
Palembang,10:49,Galak Purwanti,yyuniar@example.com,0827-8088-9238,1981,Samsung,Sangat Tinggi,Suburban,45,Millennial,Pagi,95,Kurang Aktif,example.com
Jakarta Pusat,21:09,"R. Salsabila Novitasari, S.Pt",xmelani@example.org,0849-3697-3653,2003,Vivo,Sedang,Urban,23,Gen Z,Malam,50,Aktif,example.org
Medan,15:57,Ira Najmudin,mahmudlaksita@example.org,0847-2292-5105,2003,Infinix,Sedang,Urban,23,Gen Z,Siang,50,Kurang Aktif,example.org
Yogyakarta,04:40,Cahyo Mangunsong,sihombingdamar@example.net,0849-9740-2530,1978,Samsung,Tinggi,Tourism,48,Gen X,Malam,75,Kurang Aktif,example.net
Palembang,13:10,"Dr. Rafid Novitasari, S.Gz",puput29@example.com,0895-6531-1674,1979,Samsung,Tinggi,Suburban,47,Gen X,Siang,75,Aktif,example.com
Jakarta Selatan,10:16,Carub Najmudin,taufikgunawan@example.com,0894-4453-7825,2006,Samsung,Tinggi,Urban,20,Gen Z,Pagi,75,Kurang Aktif,example.com
Denpasar,16:41,Shania Prakasa,ssuryatmi@example.net,0849-8912-5012,1988,Vivo,Tinggi,Tourism,38,Millennial,Sore,75,Kurang Aktif,example.net
Yogyakarta,09:04,"drg. Daruna Nasyidah, S.H.",wakiman35@example.net,0899-1981-3589,1999,OPPO,Sedang,Tourism,27,Gen Z,Pagi,50,Kurang Aktif,example.net
Surabaya,12:38,Dr. Malika Suryono,hmardhiyah@example.com,0829-6121-6231,1991,Realme,Tinggi,Urban,35,Millennial,Siang,75,Aktif,example.com
Makassar,15:48,Rendy Pangestu,jaishabibi@example.net,0858-9437-2739,1978,OPPO,Sedang,Urban,48,Gen X,Siang,50,Kurang Aktif,example.net
Yogyakarta,16:15,Kasiyah Puspasari,maryatidrajat@example.com,0829-2586-1829,1998,Xiaomi,Sedang,Tourism,28,Gen Z,Sore,50,Kurang Aktif,example.com
Palembang,08:15,Prabowo Marpaung,uda82@example.com,0831-6364-6123,1996,Samsung,Sedang,Suburban,30,Millennial,Pagi,50,Kurang Aktif,example.com
Denpasar,11:31,Warsita Prasetya,btampubolon@example.com,0850-9148-1379,1999,Xiaomi,Rendah,Tourism,27,Gen Z,Siang,25,Aktif,example.com
Semarang,11:13,Harto Mardhiyah,jarwi61@example.com,0885-6781-1797,1985,OPPO,Rendah,Urban,41,Millennial,Siang,25,Aktif,example.com
Semarang,10:34,Alambana Simanjuntak,yuliantimumpuni@example.org,0812-2761-8060,1988,Xiaomi,Rendah,Urban,38,Millennial,Pagi,25,Kurang Aktif,example.org
Medan,20:23,Aris Suwarno,wmandala@example.net,0816-7563-1838,1995,Samsung,Tinggi,Urban,31,Millennial,Malam,75,Aktif,example.net
Denpasar,14:04,Melinda Susanti,hutapeaaris@example.com,0860-9261-8378,1988,Xiaomi,Tinggi,Tourism,38,Millennial,Siang,75,Kurang Aktif,example.com
Palembang,07:08,Rafid Maryadi,xkusumo@example.com,0823-7453-7114,1977,Xiaomi,Tinggi,Suburban,49,Gen X,Pagi,75,Kurang Aktif,example.com
Medan,16:12,Gada Maheswara,permadisalman@example.net,0888-9341-7576,1979,Samsung,Tinggi,Urban,47,Gen X,Sore,75,Kurang Aktif,example.net
Bandung,21:51,"Drs. Jagapati Haryanto, S.IP",iriyanti@example.org,0871-9508-8487,1991,Realme,Rendah,Urban,35,Millennial,Malam,25,Aktif,example.org
Bandung,17:59,"Kamidin Permata, S.H.",lamararyani@example.org,0889-6218-3662,1990,Vivo,Sedang,Urban,36,Millennial,Sore,50,Kurang Aktif,example.org
Yogyakarta,06:32,dr. Halima Pertiwi,qnashiruddin@example.net,0876-9721-9025,1991,Xiaomi,Tinggi,Tourism,35,Millennial,Pagi,75,Kurang Aktif,example.net
Jakarta Selatan,11:21,Karna Tarihoran,novitasarihilda@example.net,0897-2795-7824,1993,Apple,Tinggi,Urban,33,Millennial,Siang,75,Aktif,example.net
Jakarta Selatan,18:16,"Dr. Kadir Damanik, S.Sos",ogunawan@example.com,0894-4728-1841,2000,Samsung,Tinggi,Urban,26,Gen Z,Sore,75,Kurang Aktif,example.com
Palembang,10:09,Hafshah Budiyanto,cahya53@example.net,0898-4968-1517,1994,Vivo,Tinggi,Suburban,32,Millennial,Pagi,75,Kurang Aktif,example.net
Surabaya,14:28,"Lutfan Jailani, M.Farm",emas05@example.net,0851-7861-3481,1971,Samsung,Sedang,Urban,55,Gen X,Siang,50,Kurang Aktif,example.net
Denpasar,16:55,Yulia Yuniar,yessihariyah@example.net,0818-3262-9498,2000,Xiaomi,Sedang,Tourism,26,Gen Z,Sore,50,Kurang Aktif,example.net
Semarang,09:24,Siti Najmudin,budiharyanti@example.org,0851-3837-8531,2003,Xiaomi,Sangat Tinggi,Urban,23,Gen Z,Pagi,95,Kurang Aktif,example.org
Medan,12:39,Farah Gunawan,bakdasihotang@example.com,0872-4150-5038,1986,Xiaomi,Sedang,Urban,40,Millennial,Siang,50,Aktif,example.com
Yogyakarta,00:45,dr. Rahman Palastri,cramadan@example.net,0837-9011-6194,1988,OPPO,Sedang,Tourism,38,Millennial,Malam,50,Kurang Aktif,example.net
Yogyakarta,08:07,Edison Tamba,yolandamujur@example.com,0884-9899-7220,1988,Xiaomi,Sangat Tinggi,Tourism,38,Millennial,Pagi,95,Kurang Aktif,example.com
Medan,11:18,Raharja Uwais,vwacana@example.com,0816-5712-2294,1979,OPPO,Sedang,Urban,47,Gen X,Siang,50,Aktif,example.com
Yogyakarta,08:13,Jessica Nashiruddin,xmandasari@example.net,0836-9824-5442,2000,Vivo,Sangat Tinggi,Tourism,26,Gen Z,Pagi,95,Kurang Aktif,example.net
Bandung,19:39,Wani Hutasoit,bhutapea@example.net,0886-4920-4972,1976,Realme,Rendah,Urban,50,Gen X,Sore,25,Aktif,example.net
Surabaya,07:03,"R. Puji Sihombing, S.Psi",hutapeamarwata@example.net,0823-7771-6411,1984,Samsung,Tinggi,Urban,42,Millennial,Pagi,75,Kurang Aktif,example.net
Bandung,11:35,Ina Hassanah,smarbun@example.com,0831-7666-8793,1970,Samsung,Sedang,Urban,56,Gen X,Siang,50,Aktif,example.com
Yogyakarta,13:18,Melinda Gunarto,paris64@example.net,0893-1969-2465,1990,Samsung,Tinggi,Tourism,36,Millennial,Siang,75,Aktif,example.net
Jakarta Selatan,18:26,"Dt. Bahuraksa Winarsih, S.Sos",dewi20@example.org,0833-1595-7504,1981,Samsung,Tinggi,Urban,45,Millennial,Sore,75,Kurang Aktif,example.org
Yogyakarta,07:00,"Ir. Shania Farida, S.Gz",cahyantoprakasa@example.net,0849-2758-6489,1972,Huawei,Sedang,Tourism,54,Gen X,Pagi,50,Kurang Aktif,example.net
Denpasar,17:31,Karen Winarno,suartinigaiman@example.net,0828-9261-8668,2003,Apple,Sedang,Tourism,23,Gen Z,Sore,50,Kurang Aktif,example.net
Medan,13:46,Kartika Wahyudin,khutagalung@example.org,0869-5215-4050,1980,Xiaomi,Rendah,Urban,46,Gen X,Siang,25,Aktif,example.org
Yogyakarta,09:43,Tgk. Hasta Sihotang,jamil10@example.net,0835-3875-7643,2006,OPPO,Tinggi,Tourism,20,Gen Z,Pagi,75,Kurang Aktif,example.net
Jakarta Pusat,14:42,Jamil Maryati,hpurwanti@example.com,0823-4027-3303,1995,Infinix,Sedang,Urban,31,Millennial,Siang,50,Kurang Aktif,example.com
Jakarta Selatan,13:24,"T. Niyaga Hassanah, S.Kom",zulfa73@example.org,0841-8319-5374,1986,Xiaomi,Sangat Tinggi,Urban,40,Millennial,Siang,95,Aktif,example.org
Palembang,10:16,Simon Hidayanto,tnatsir@example.com,0894-6890-4871,1970,Samsung,Rendah,Suburban,56,Gen X,Pagi,25,Kurang Aktif,example.com
Yogyakarta,13:25,Rusman Zulaika,ulya51@example.net,0898-9233-6095,1980,Vivo,Tinggi,Tourism,46,Gen X,Siang,75,Aktif,example.net
Yogyakarta,11:39,T. Tri Salahudin,sarahnatsir@example.com,0839-4590-3188,1993,OPPO,Sedang,Tourism,33,Millennial,Siang,50,Aktif,example.com
Palembang,13:26,Sutan Banawi Pangestu,jasmanilailasari@example.org,0881-8714-9806,1993,Apple,Tinggi,Suburban,33,Millennial,Siang,75,Aktif,example.org
Surabaya,15:33,Puspa Pertiwi,warji82@example.net,0868-9653-6927,1975,OPPO,Rendah,Urban,51,Gen X,Siang,25,Kurang Aktif,example.net
Jakarta Selatan,19:57,Atmaja Saragih,hkuswandari@example.com,0875-4312-9792,2005,Xiaomi,Rendah,Urban,21,Gen Z,Sore,25,Aktif,example.com
Denpasar,08:07,"dr. Ridwan Permata, S.Pt",mahesayuniar@example.org,0898-4365-9008,1998,OPPO,Rendah,Tourism,28,Gen Z,Pagi,25,Kurang Aktif,example.org
Jakarta Selatan,21:08,Nadia Zulaika,edi89@example.org,0876-7806-8484,1999,OPPO,Tinggi,Urban,27,Gen Z,Malam,75,Aktif,example.org
Yogyakarta,05:25,"R.M. Ian Mardhiyah, S.Gz",maryatigaduh@example.com,0843-1049-4570,1971,Samsung,Tinggi,Tourism,55,Gen X,Pagi,75,Kurang Aktif,example.com
Medan,12:34,Caraka Sinaga,mustofamaryati@example.com,0818-2130-8734,1974,Xiaomi,Rendah,Urban,52,Gen X,Siang,25,Aktif,example.com
Bandung,15:23,"Puti Hafshah Napitupulu, M.Pd",dwi49@example.net,0859-8348-7184,1996,Vivo,Sedang,Urban,30,Millennial,Siang,50,Kurang Aktif,example.net
Denpasar,14:41,Jefri Yuniar,maidaprastuti@example.org,0855-2943-3924,1978,Xiaomi,Sangat Tinggi,Tourism,48,Gen X,Siang,95,Kurang Aktif,example.org
Bandung,10:53,Maryanto Oktaviani,jane00@example.org,0811-1372-5888,1984,Apple,Sedang,Urban,42,Millennial,Pagi,50,Kurang Aktif,example.org
Makassar,12:24,Warta Yuniar,samiah39@example.com,0840-5055-8546,2004,Xiaomi,Sedang,Urban,22,Gen Z,Siang,50,Aktif,example.com
Jakarta Pusat,11:51,Hj. Ana Mandasari,suci47@example.org,0895-7868-1256,1972,Samsung,Sedang,Urban,54,Gen X,Siang,50,Aktif,example.org
Palembang,10:28,"KH. Mahdi Waskita, S.Pd",shidayanto@example.org,0887-1797-5009,1972,Xiaomi,Tinggi,Suburban,54,Gen X,Pagi,75,Kurang Aktif,example.org
Surabaya,16:13,Irnanto Agustina,nhariyah@example.com,0818-3295-9255,2004,Samsung,Sangat Tinggi,Urban,22,Gen Z,Sore,95,Kurang Aktif,example.com
Palembang,14:36,R. Iriana Simanjuntak,raditya25@example.net,0887-6253-4881,1990,Samsung,Sedang,Suburban,36,Millennial,Siang,50,Kurang Aktif,example.net
Denpasar,10:26,R. Galuh Permadi,rmaheswara@example.com,0849-5508-1998,1984,Vivo,Tinggi,Tourism,42,Millennial,Pagi,75,Kurang Aktif,example.com
Bandung,16:35,Caket Kuswoyo,siregarpranawa@example.net,0874-1768-6642,1997,Vivo,Sangat Tinggi,Urban,29,Gen Z,Sore,95,Kurang Aktif,example.net
Denpasar,14:44,Hilda Manullang,kezia53@example.org,0864-7688-3444,1990,Samsung,Sedang,Tourism,36,Millennial,Siang,50,Kurang Aktif,example.org
Denpasar,16:15,Oliva Hastuti,fsamosir@example.org,0839-5927-3365,2000,Realme,Tinggi,Tourism,26,Gen Z,Sore,75,Kurang Aktif,example.org
Denpasar,15:26,Warsa Wijaya,npermadi@example.net,0882-9683-3196,1996,Xiaomi,Sedang,Tourism,30,Millennial,Siang,50,Kurang Aktif,example.net
Medan,09:59,Alika Hardiansyah,alika97@example.com,0868-7079-2514,1975,Apple,Tinggi,Urban,51,Gen X,Pagi,75,Kurang Aktif,example.com
Jakarta Selatan,10:24,Dt. Slamet Kurniawan,qmansur@example.net,0897-1647-2192,1987,Apple,Sedang,Urban,39,Millennial,Pagi,50,Kurang Aktif,example.net
Denpasar,15:30,Vanesa Waskita,bakijan60@example.net,0837-6455-5967,1983,Samsung,Sangat Tinggi,Tourism,43,Millennial,Siang,95,Kurang Aktif,example.net
Surabaya,15:47,Sutan Gilang Puspasari,cakrajiya68@example.com,0872-4974-4350,1977,Samsung,Sedang,Urban,49,Gen X,Siang,50,Kurang Aktif,example.com
Medan,12:24,"Dr. Estiono Oktaviani, M.Ak",mahendradagel@example.com,0870-9743-6886,1988,Xiaomi,Sedang,Urban,38,Millennial,Siang,50,Aktif,example.com
Semarang,13:06,Wulan Sirait,edward39@example.net,0871-6246-4328,1999,Xiaomi,Sedang,Urban,27,Gen Z,Siang,50,Aktif,example.net
Palembang,18:47,Olivia Gunarto,firgantoroendra@example.net,0829-1265-5272,1984,Vivo,Tinggi,Suburban,42,Millennial,Sore,75,Kurang Aktif,example.net
Makassar,10:09,Wani Kusmawati,mmaryadi@example.net,0836-6404-4768,1988,Realme,Sedang,Urban,38,Millennial,Pagi,50,Kurang Aktif,example.net
Semarang,15:41,Gamanto Suryatmi,gamani69@example.net,0898-6530-5216,2005,OPPO,Tinggi,Urban,21,Gen Z,Siang,75,Kurang Aktif,example.net
Semarang,12:10,"Tgk. Rika Sirait, M.TI.",tpratiwi@example.com,0856-3773-3293,1999,OPPO,Tinggi,Urban,27,Gen Z,Siang,75,Aktif,example.com
Denpasar,12:33,"Cut Kartika Sitompul, S.IP",tpadmasari@example.net,0815-2217-1794,1973,Xiaomi,Tinggi,Tourism,53,Gen X,Siang,75,Aktif,example.net
Surabaya,17:45,"Hj. Aisyah Riyanti, M.Kom.",talia99@example.org,0830-1149-4583,1974,Xiaomi,Tinggi,Urban,52,Gen X,Sore,75,Kurang Aktif,example.org
Palembang,16:42,"Anastasia Padmasari, M.Kom.",eliusamah@example.net,0873-1257-1108,2000,Xiaomi,Tinggi,Suburban,26,Gen Z,Sore,75,Kurang Aktif,example.net
Jakarta Selatan,16:46,drg. Dalima Zulaika,atmapertiwi@example.net,0846-9777-5697,2003,Apple,Rendah,Urban,23,Gen Z,Sore,25,Kurang Aktif,example.net
Makassar,18:06,Dadap Budiyanto,asihotang@example.org,0823-9591-3439,1981,Vivo,Sedang,Urban,45,Millennial,Sore,50,Kurang Aktif,example.org
Yogyakarta,13:17,Shakila Putra,xmardhiyah@example.net,0861-2294-7112,1992,OPPO,Sangat Tinggi,Tourism,34,Millennial,Siang,95,Aktif,example.net
Surabaya,15:19,Zizi Halim,dalimapranowo@example.net,0898-2320-1519,1984,Xiaomi,Rendah,Urban,42,Millennial,Siang,25,Kurang Aktif,example.net
Denpasar,11:03,Salimah Kuswandari,lsihotang@example.com,0892-1154-3807,2000,Realme,Rendah,Tourism,26,Gen Z,Siang,25,Aktif,example.com
